title,release_date,developer,genres,multiplayer_or_singleplayer,price,overall_review,reviews,percent_positive,win_support,mac_support,lin_support
Granado Espada,23/02/2017,"HANBITSOFT, INC.;IMC GAMES CO.,LTD.",Action;Free to Play;Massively Multiplayer;RPG;Strategy,Single-player;MMO,Free to play,Mixed,1985,61%,1,0,0
Dead Island Definitive Edition,31/05/2016,Techland,Action,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Stats,565,Positive,13853,82%,1,0,1
Command & Conquer: Red Alert 3,08/01/2009,EA Los Angeles,Strategy,Single-player,999,Positive,5986,83%,1,0,0
Root,16/11/2015,Skunkape Interactive,Action;Indie,Single-player;Steam Achievements;Steam Trading Cards,459,Positive,5444,88%,1,1,0
Assassin's Creed� III Remastered,29/03/2019,Ubisoft Entertainment,Action;Adventure,Single-player;Partial Controller Support,"1,999",Mixed,46893,54%,1,0,0
Feed and Grow: Fish,08/01/2016,Old B1ood,Action;Indie;Simulation;Early Access,Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support,479,Positive,1860,95%,1,0,0
Unturned,07/07/2017,Smartly Dressed Games,Action;Adventure;Casual;Free to Play;Indie,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;VR Support;Steam Workshop;In-App Purchases;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes level editor,Free to play,Positive,10263,94%,1,1,1
Assassin's Creed� Revelations,30/11/2011,Ubisoft Montreal,Action;Adventure,Single-player;Multi-player,999,Positive,694,62%,1,0,0
DEAD OR ALIVE 6,28/02/2019,"KOEI TECMO GAMES CO., LTD.",Action,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;In-App Purchases;Steam Cloud;Steam Leaderboards,"1,299",Positive,426,85%,1,0,0
King of Retail,26/03/2019,Freaking Games,Casual;Indie;Simulation;Early Access,Single-player,569,Positive,20494,71%,1,1,0
Realms of Magic,06/12/2017,Polished Games,Action;Adventure;Indie;RPG;Early Access,Single-player;Steam Cloud,529,Positive,1031,60%,1,0,0
The Jackbox Party Pack 4,18/10/2017,"Jackbox Games, Inc.",Casual;Indie;Strategy,Local Multi-Player;Local Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,619,Positive,2618,95%,1,1,1
Hobo: Tough Life,25/07/2017,Perun Creative,Adventure;Indie;RPG;Simulation;Early Access,Single-player;Online Multi-Player;Online Co-op;Partial Controller Support,699,Positive,5327,69%,1,0,1
Paint the Town Red,13/10/2015,South East Games,Action;Indie;Early Access,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Full controller support;Steam Workshop;Steam Leaderboards;Includes level editor,529,Positive,35904,97%,1,1,1
Armored Warfare,17/11/2017,Obsidian Entertainment;My.com,Action;Casual;Free to Play;Massively Multiplayer;Simulation;Strategy,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Trading Cards;In-App Purchases;Steam Turn Notifications,Free to play,Mixed,8991,93%,1,0,0
VA-11 Hall-A: Cyberpunk Bartender Action,21/06/2016,Sukeban Games,Adventure;Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,459,Positive,21538,76%,1,0,1
STAR WARS� Empire at War - Gold Pack,25/05/2010,Petroglyph,Strategy,Single-player;Multi-player;Online Multi-Player;Steam Cloud,529,Positive,2529,90%,1,0,0
Tales of Vesperia: Definitive Edition,10/01/2019,QLOC;BANDAI NAMCO Studios Inc.,RPG,Single-player;Local Multi-Player;Co-op;Local Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,"2,600",Positive,23388,89%,1,0,0
Victoria II,30/08/2010,Paradox Development Studio,Strategy,Single-player;Multi-player;Steam Trading Cards,565,Positive,84779,83%,1,0,0
We Were Here Too,02/02/2018,Total Mayhem Games,Adventure;Casual;Indie,Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,480,Positive,13499,77%,1,1,0
Heroes� of Might & Magic� III - HD Edition,28/01/2015,DotEmu,RPG;Strategy,Single-player;Multi-player;Steam Achievements;Includes level editor,749,Positive,4320,85%,1,0,0
Call of Duty� 4: Modern Warfare�,12/11/2007,Infinity Ward;Aspyr (Mac),Action,Single-player;Multi-player,"1,300",Positive,40369,97%,1,1,0
Dungeon Defenders II,20/06/2017,Trendy Entertainment,Action;Free to Play;Indie;RPG;Strategy,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support,Free to play,Positive,23528,94%,1,0,0
Divinity: Original Sin - Enhanced Edition,27/10/2015,Larian Studios,Adventure;Indie;RPG;Strategy,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,849,Positive,11037,94%,1,1,1
World War 3,19/10/2018,The Farm 51,Action;Indie;Early Access,Online Multi-Player;Partial Controller Support,Free to play,Mixed,2330,91%,1,0,0
CrossCode,20/09/2018,Radical Fish Games,RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,565,Positive,1014,96%,1,1,1
Monster Prom,27/04/2018,Beautiful Glitch,Indie;Simulation,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support,399,Positive,2413,83%,1,1,1
Injustice� 2,30/11/2017,NetherRealm Studios;QLOC,Action,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud,"2,750",Positive,10756,86%,1,0,0
Exanima,29/04/2015,Bare Mettle Entertainment,Action;Adventure;Indie;RPG;Simulation;Early Access,Single-player,479,Positive,7655,73%,1,0,0
theHunter Classic,03/06/2014,Expansive Worlds;Avalanche Studios,Action;Adventure;Free to Play;Simulation;Sports,Single-player;Multi-player;Co-op;Steam Achievements,Free to play,Mixed,5563,93%,1,0,0
Ni no Kuni� II: Revenant Kingdom,23/03/2018,Level-5,Adventure;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,"4,299",Positive,8348,82%,1,0,0
Wargame: Red Dragon,17/04/2014,Eugen Systems,Strategy,Single-player;Multi-player;Steam Trading Cards;Steam Cloud,"1,879",Positive,420,87%,1,1,1
FINAL FANTASY VI,16/12/2015,Square Enix,RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,850,Positive,15035,88%,1,0,0
Mist Survival,14/08/2018,Rati Wattanakornprasit,Action;Adventure;Indie;Simulation;Early Access,Single-player,379,Positive,14967,93%,1,0,0
Little Inferno,19/11/2012,Tomorrow Corporation,Adventure;Casual;Indie,Single-player,459,Positive,570,86%,1,1,1
Danganronpa V3: Killing Harmony,25/09/2017,"Spike Chunsoft Co., Ltd.",Adventure,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,899,Positive,3528,68%,1,0,0
FINAL FANTASY X/X-2 HD Remaster,12/05/2016,Square Enix,RPG,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,729,Positive,1091,84%,1,0,0
War Planet Online: Global Conquest,19/12/2017,Gameloft,Free to Play;Massively Multiplayer;Strategy,MMO;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases;Steam Cloud,Free to play,Mixed,1744,87%,1,0,0
TerraTech,10/08/2018,Payload Studios,Action;Indie,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support,569,Positive,5162,69%,1,1,1
X-Plane 11,30/03/2017,Laminar Research,Simulation,Single-player;Local Multi-Player;Partial Controller Support;Includes level editor,699,Positive,13093,90%,1,1,1
The Evil Within,13/10/2014,Tango Gameworks,Action,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud,"1,179",Positive,8304,90%,1,0,0
Total War: EMPIRE � Definitive Edition,04/03/2009,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),Strategy,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Stats,"1,129",Positive,2387,86%,1,1,1
Sonic Generations Collection,03/11/2011,Devil's Details,Action,Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,"1,039",Positive,1380,95%,1,0,0
Blood Trail,27/03/2019,Electrovore,Action;Early Access,Single-player,569,Positive,2575,92%,1,0,0
"Warhammer 40,000: Mechanicus",15/11/2018,Bulwark Studios,Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,699,Positive,14821,91%,1,1,1
My Time At Portia,15/01/2019,Pathea Games,Adventure;Casual;Indie;RPG;Simulation,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,699,Positive,6009,77%,1,1,0
Fallout 4 VR,11/12/2017,Bethesda Game Studios,Violent;RPG,Single-player;VR Support;SteamVR Collectibles,"2,999",Mixed,4186,89%,1,0,0
Sonic Adventure 2,19/11/2012,SEGA,Action,Single-player;Multi-player;Partial Controller Support,599,Positive,1016,77%,1,0,0
Black Squad,28/07/2017,NS STUDIO,Action;Free to Play;Early Access,Multi-player;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to play,Positive,29442,51%,1,0,0
Sleeping Dogs: Definitive Edition,08/10/2014,United Front Games;Feral Interactive (Mac),Action;Adventure;Racing,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,729,Positive,930,97%,1,1,0
Project Hospital,30/10/2018,Oxymoron Games,Indie;Simulation;Strategy,Single-player;Steam Achievements;Stats,569,Positive,2681,79%,1,1,1
The Witcher: Enhanced Edition Director's Cut,16/09/2008,CD PROJEKT RED,Action;RPG,Single-player;Steam Cloud,369,Positive,9871,93%,1,1,0
Assassin�s Creed� Brotherhood,17/03/2011,Ubisoft Montreal,Action;Adventure,Single-player;Multi-player;Partial Controller Support,749,Positive,10023,94%,1,0,0
Parkitect,29/11/2018,Texel Raptor,Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Includes level editor,699,Positive,9840,92%,1,1,1
Hellblade: Senua's Sacrifice,07/08/2017,Ninja Theory,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,729,Positive,7015,68%,1,0,0
MudRunner,30/10/2017,Saber Interactive,Simulation,Single-player;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,799,Positive,79549,76%,1,0,0
Heroes of Hammerwatch,01/03/2018,Crackshell,Action;Indie;RPG,Single-player;Multi-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor,399,Positive,6300,84%,1,0,1
ShellShock Live,11/03/2015,kChamp Games,Action;Casual;Indie;Massively Multiplayer;Strategy;Early Access,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats,319,Positive,13515,92%,1,1,1
The Universim,28/08/2018,Crytivo,Indie;Simulation;Strategy;Early Access,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,699,Positive,43596,92%,1,1,1
Dragon's Dogma: Dark Arisen,15/01/2016,Capcom,Action;Adventure;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,"1,799",Positive,12346,94%,1,0,0
Half-Life: Source,01/06/2004,Valve,Action,Single-player,480,Positive,384,89%,1,1,1
HYPERCHARGE: Unboxed,21/06/2017,Digital Cybercherries,Action;Adventure;Casual;Sports;Strategy;Early Access,Single-player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Full controller support,999,Positive,54784,88%,1,0,1
Onmyoji,18/04/2018,NetEase Games,Adventure;RPG;Strategy,MMO;Steam Achievements;Steam Trading Cards;In-App Purchases,Free to play,Positive,45926,91%,1,0,0
Just Cause� 3,30/11/2015,Avalanche Studios,Action;Adventure,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,399,Positive,24798,80%,1,0,0
Total War: NAPOLEON � Definitive Edition,25/02/2010,CREATIVE ASSEMBLY;Feral Interactive (Mac),Strategy,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Stats,"1,129",Positive,8638,66%,1,1,0
MARVEL Puzzle Quest,05/12/2013,Demiurge Studios,Casual;Free to Play;RPG,Single-player;Online Multi-Player;Cross-Platform Multiplayer,Free to play,Mixed,21066,93%,1,0,0
OneShot,08/12/2016,Little Cat Feet,Adventure;Casual;Indie,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,369,Positive,28642,94%,1,1,1
Mortal Kombat X,13/04/2015,NetherRealm Studios;QLOC,Action,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,849,Positive,7340,96%,1,0,0
Half-Life 2: Episode Two,10/10/2007,Valve,Action,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,299,Positive,15753,89%,1,1,1
Tomb Raider,04/03/2013,Crystal Dynamics;Eidos-Montr�al;Feral Interactive (Mac);Feral Interactive (Linux),Action;Adventure,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,550,Positive,687,82%,1,1,0
Empires of the Undergrowth,01/12/2017,Slug Disco Studios,Indie;Simulation;Strategy;Early Access,Single-player,599,Positive,804,75%,1,1,0
Freestyle 2: Street Basketball,01/04/2015,Joycity,Action;Casual;Free to Play;Massively Multiplayer;Sports,Online Multi-Player;MMO;Online Co-op;Steam Trading Cards;Partial Controller Support,Free to play,Positive,7393,91%,1,0,0
Call of Duty�: Ghosts,25/03/2014,Infinity Ward,Action,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards,"3,999",Mixed,193,89%,1,0,0
War of Rights,03/12/2018,Campfire Games,Action;Indie;Simulation;Early Access,Online Multi-Player,"2,234",Positive,6726,61%,1,0,0
Half-Life 2: Episode One,01/06/2006,Valve,Action,Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud;Stats;Includes Source SDK;Commentary available,400,Positive,7612,86%,1,1,1
Cultist Simulator,31/05/2018,Weather Factory,Indie;RPG;Simulation,Single-player;Steam Achievements;Steam Trading Cards,529,Positive,51106,96%,1,1,1
Just Shapes & Beats,31/05/2018,Berzerk Studio,Action;Indie,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,529,Positive,4133,69%,1,1,1
Microsoft Flight Simulator X: Steam Edition,18/12/2014,Microsoft Game Studios,Simulation,Single-player;Multi-player;Partial Controller Support,619,Positive,11733,55%,1,0,0
SOMA,21/09/2015,Frictional Games,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,729,Positive,11980,90%,1,1,1
Company of Heroes,11/09/2006,Relic Entertainment,Violent;Action;Strategy,Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud,565,Positive,1177,96%,1,0,0
GRIS,13/12/2018,Nomada Studio,Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud,489,Positive,11318,85%,1,1,0
Tower Unite,08/04/2016,PixelTail Games,Action;Adventure;Casual;Indie;Massively Multiplayer;Early Access,Single-player;Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Valve Anti-Cheat enabled;Stats;Steam Leaderboards,529,Positive,4358,87%,1,0,0
Day of Defeat: Source,12/07/2010,Valve,Action,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK,480,Positive,1781,89%,1,1,1
Call of Duty�: Advanced Warfare - Gold Edition,03/11/2014,Sledgehammer Games;Raven Software,Action,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards,"3,999",Mixed,39386,93%,1,0,0
Worms W.M.D,23/08/2016,Team17 Digital Ltd,Action;Strategy,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards,"2,249",Positive,8166,92%,1,1,1
Empyrion - Galactic Survival,05/08/2015,Eleon Game Studios,Adventure;Indie;Simulation;Strategy;Early Access,Single-player;Multi-player;Co-op;Steam Workshop;Partial Controller Support,565,Positive,3430,77%,1,0,0
Firewatch,09/02/2016,Campo Santo,Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,880,Positive,13715,94%,1,1,1
Crypt of the NecroDancer,23/04/2015,Brace Yourself Games,Action;Indie;RPG,Single-player;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor,479,Positive,20738,97%,1,1,1
Tricky Towers,02/08/2016,WeirdBeard,Casual;Indie,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,479,Positive,25440,56%,1,1,1
Fallout Tactics: Brotherhood of Steel,19/08/2009,14� East,Strategy,Single-player;Multi-player;Steam Cloud,369,Positive,3152,84%,1,0,0
Nine Parchments,05/12/2017,Frozenbyte,Action;RPG,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,529,Positive,8939,86%,1,0,0
XCOM: Enemy Unknown,11/10/2012,Firaxis Games;Feral Interactive (Mac);Feral Interactive (Linux),Strategy,Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"1,499",Positive,9300,60%,1,0,1
Crazy Machines 3,18/10/2016,Fakt Software,Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,499,Positive,948,54%,1,0,0
Besiege,28/01/2015,Spiderling Studios,Indie;Simulation;Early Access,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Workshop;Includes level editor,459,Positive,399,82%,1,1,1
Holdfast: Nations At War,21/09/2017,Anvil Game Studios,Action;Indie;Early Access,Online Multi-Player,565,Positive,2019,91%,1,0,0
Town of Salem,15/12/2014,BlankMediaGames,Indie;RPG;Strategy,Multi-player;Cross-Platform Multiplayer;Steam Achievements;In-App Purchases;Steam Cloud,259,Positive,29092,95%,1,1,0
Baldur's Gate: Enhanced Edition,16/01/2013,Beamdog,RPG;Strategy,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud,529,Positive,18353,95%,1,1,1
DUSK,10/12/2018,David Szymanski,Action;Indie,Single-player;Online Multi-Player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,529,Positive,16434,63%,1,1,1
Broforce,15/10/2015,Free Lives,Action;Adventure;Casual;Indie,Single-player;Multi-player;Co-op;Shared/Split Screen;Full controller support;Includes level editor,690,Positive,6608,81%,1,1,1
Assassin�s Creed� Rogue,09/03/2015,Ubisoft Sofia;Ubisoft Kiev,Action;Adventure,Single-player;Partial Controller Support,999,Positive,927,96%,1,0,0
F.E.A.R. 2: Project Origin,12/02/2009,Monolith,Action,Single-player;Multi-player,479,Positive,27867,93%,1,0,0
Dungeon Fighter Online,09/08/2016,Neople,Action;Adventure;Free to Play;Massively Multiplayer;RPG,Online Multi-Player;MMO;Steam Achievements;Steam Trading Cards,Free to play,Mixed,7946,80%,1,0,0
Will To Live Online,05/04/2018,AlphaSoft LLC,Action;Indie;Massively Multiplayer;RPG;Early Access,Multi-player;Online Multi-Player;MMO;Steam Achievements;Steam Cloud;Stats,Free to play,Positive,403,96%,1,0,0
Clone Drone in the Danger Zone,16/03/2017,Doborog Games,Action;Indie;Early Access,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Full controller support;Captions available;Steam Workshop;Steam Cloud;Includes level editor,529,Positive,19763,96%,1,1,0
Danganronpa: Trigger Happy Havoc,18/02/2016,"Spike Chunsoft Co., Ltd.;Abstraction Games",Adventure,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,565,Positive,1983,77%,1,1,1
Banished,18/02/2014,Shining Rock Software LLC,Indie;Simulation;Strategy,Single-player;Steam Achievements,565,Positive,3625,81%,1,0,0
Forager,18/04/2019,HopFrog,Action;Adventure;Indie;Simulation,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,529,Positive,13146,92%,1,0,0
Into the Breach,27/02/2018,Subset Games,Indie;RPG;Simulation;Strategy,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,459,Positive,9369,90%,1,1,1
Project Winter,07/02/2019,Other Ocean Interactive,Action;Adventure;Casual;Indie;Strategy;Early Access,Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support,349,Positive,17802,92%,1,0,0
Wolfenstein II: The New Colossus,26/10/2017,Machine Games,Action,Single-player;Steam Achievements;Full controller support;Steam Cloud,"1,999",Positive,181,81%,1,0,0
Max Payne 3,31/05/2012,Rockstar Studios,Action,Single-player;Multi-player;Steam Achievements;Partial Controller Support,"1,099",Positive,17941,78%,1,0,0
Rain World,28/03/2017,Videocult,Action;Adventure;Indie,Single-player;Local Multi-Player;Steam Achievements;Full controller support,565,Positive,3994,80%,1,0,0
Unheard,28/03/2019,NEXT Studios,Indie;RPG;Simulation,Single-player;Steam Cloud,412,Positive,1913,77%,1,1,0
Battlefleet Gothic: Armada 2,24/01/2019,Tindalos Interactive,Strategy,Single-player;Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Cloud,799,Positive,14396,88%,1,0,0
Pillars of Eternity,26/03/2015,Obsidian Entertainment,RPG,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Commentary available,729,Positive,188,81%,1,1,1
STEINS;GATE,08/09/2016,MAGES. Inc.,Adventure,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,699,Positive,779,87%,1,0,0
Assassin's Creed�: Director's Cut Edition,09/04/2008,Ubisoft Montreal,Action;Adventure,Single-player;Partial Controller Support,499,Positive,2584,90%,1,0,0
Railway Empire,26/01/2018,Gaming Minds Studios,Simulation;Strategy,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud,"1,799",Positive,40648,97%,1,0,1
Far Cry� New Dawn,15/02/2019,Ubisoft Montreal;Ubisoft Kiev;Ubisoft Shanghai,Action;Adventure,Single-player;Online Co-op;Partial Controller Support,"2,249",Positive,12699,85%,1,0,0
Call of Duty: United Offensive,13/10/2006,Gray Matter Studios,Action,Single-player;Multi-player,"1,300",Positive,12365,97%,1,0,0
LEGO� Star Wars� - The Complete Saga,12/11/2009,Traveller's Tales;Feral Interactive (Mac),Adventure,Single-player;Shared/Split Screen;Full controller support;Steam Cloud,529,Positive,3562,77%,1,0,0
Night in the Woods,21/02/2017,Infinite Fall,Adventure,Single-player;Steam Achievements;Full controller support,565,Positive,158428,96%,1,1,1
Rising Storm 2: Vietnam,30/05/2017,Antimatter Games;Tripwire Interactive,Action;Massively Multiplayer;Simulation;Strategy,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Stats;Includes level editor,619,Positive,575,85%,1,0,0
Gold Rush: The Game,13/10/2017,Code Horizon,Indie;Simulation,Single-player;Full controller support;Steam Trading Cards;Steam Cloud,529,Positive,1276,85%,1,0,0
Vampire: The Masquerade - Bloodlines,22/03/2007,Troika Games,Action,Single-player,"1,300",Positive,1365,93%,1,0,0
INSIDE,07/07/2016,Playdead,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud,565,Positive,171,67%,1,1,0
Firework,06/12/2018,Ivan Zanotti's MyMadnessWorks,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support,349,Positive,570,95%,1,0,0
Fate/EXTELLA LINK,19/03/2019,Marvelous Inc.,Action,Single-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,"1,099",Positive,101,42%,1,0,0
Mini Metro,06/11/2015,Dinosaur Polo Club,Indie;Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,349,Positive,23523,81%,1,1,1
Stronghold Crusader 2,22/09/2014,FireFly Studios,Simulation;Strategy,Single-player;Online Multi-Player;Online Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,899,Positive,1549,93%,1,0,0
POSTAL 2,02/11/2012,Running With Scissors,Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor,369,Positive,2876,79%,1,1,1
Hotline Miami 2: Wrong Number,10/03/2015,Dennaton Games,Action;Indie,Single-player;Steam Achievements;Full controller support;Steam Workshop;Steam Leaderboards;Includes level editor,690,Positive,580,92%,1,1,1
Minion Masters,02/12/2016,BetaDwarf,Action;Free to Play;Indie;Strategy;Early Access,Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Trading Cards;In-App Purchases;Partial Controller Support;Steam Cloud,Free to play,Positive,34568,90%,1,1,0
Danganronpa 2: Goodbye Despair,18/04/2016,"Spike Chunsoft Co., Ltd.;Abstraction Games",Adventure,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,565,Positive,1207,83%,1,1,1
FTL: Faster Than Light,14/09/2012,Subset Games,Indie;Simulation;Strategy,Single-player;Steam Trading Cards,369,Positive,122,55%,1,1,1
Planetary Annihilation: TITANS,18/08/2015,Planetary Annihilation Inc,Strategy,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements,699,Positive,9312,71%,1,1,1
Life is Strange - Episode 1,29/01/2015,DONTNOD Entertainment;Feral Interactive (Mac);Feral Interactive (Linux),Action;Adventure,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Free to play,Positive,23629,96%,1,1,1
Jurassic World Evolution,11/06/2018,Frontier Developments,Simulation;Strategy,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"2,855",Positive,40366,90%,1,0,0
Katamari Damacy REROLL,06/12/2018,MONKEYCRAFT Co. Ltd.,Action;Casual,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,699,Positive,3458,63%,1,0,0
PokerStars VR,08/11/2018,Lucky VR Inc.,Casual;Free to Play;Strategy;Early Access,Online Multi-Player,Free to play,Positive,65880,96%,1,0,0
Job Simulator,05/04/2016,Owlchemy Labs,Simulation,Single-player;Steam Achievements;Steam Trading Cards;VR Support;SteamVR Collectibles,529,Positive,34645,62%,1,0,0
The Jackbox Party Pack 2,13/10/2015,"Jackbox Games, Inc.",Casual;Indie;Strategy,Single-player;Local Multi-Player;Local Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,619,Positive,31087,92%,1,1,1
Tales of Zestiria,19/10/2015,BANDAI NAMCO Studio Inc.,RPG,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,"3,284",Positive,2338,89%,1,0,0
Baba Is You,13/03/2019,Hempuli Oy,Indie,Single-player;Steam Achievements;Full controller support;Steam Cloud,459,Positive,15218,83%,1,1,1
